id,feat1,feat2,feat3,feat4
sample_000,5.25,3.4,1.99,0.41
sample_001,4.4,3.78,1.24,0.41
sample_002,5.65,3.65,1.24,-0.14
sample_003,4.42,3.89,1.93,0.61
sample_004,5.33,3.55,1.18,-0.08
sample_005,4.74,3.09,1.81,0.51
sample_006,4.59,4.18,1.26,0.09
sample_007,5.01,3.67,1.26,0.25
sample_008,4.25,3.95,1.86,0.51
sample_009,4.39,3.61,1.61,0.52
sample_010,5.38,3.03,1.36,0.18
sample_011,4.81,3.66,1.49,0.04
sample_012,4.38,3.88,1.31,0.31
sample_013,4.73,3.26,1.53,0.54
sample_014,5.01,4.26,1.53,0.18
sample_015,5.58,3.8,1.22,0.52
sample_016,5.43,3.59,1.52,0.01
sample_017,5.1,3.38,1.57,0.21
sample_018,5.74,3.82,1.25,0.43
sample_019,5.07,4.01,1.42,-0.09
sample_020,5.35,3.42,1.44,0.09
sample_021,5.22,3.73,1.45,0.12
sample_022,4.65,3.98,1.67,0.08
sample_023,4.91,3.63,1.48,0.46
sample_024,4.88,3.62,1.86,0.19
sample_025,5.0,3.3,1.74,0.31
sample_026,5.0,3.42,1.36,0.18
sample_027,5.22,3.53,1.29,0.24
sample_028,5.15,3.43,1.52,0.21
sample_029,4.49,3.72,1.32,0.22
sample_030,5.3,3.66,1.78,0.1
sample_031,4.8,3.59,1.49,-0.04
sample_032,5.33,4.02,1.47,0.4
sample_033,5.0,3.96,1.79,0.41
sample_034,5.2,3.62,1.69,0.17
sample_035,4.41,3.38,1.84,0.19
sample_036,5.03,3.86,1.56,0.22
sample_037,4.86,3.39,1.32,0.39
sample_038,4.43,3.82,1.63,0.6
sample_039,5.1,3.49,1.61,0.24
sample_040,5.08,3.63,1.51,0.06
sample_041,4.66,3.35,2.08,0.39
sample_042,4.67,3.74,1.18,0.22
sample_043,4.67,3.32,1.6,0.22
sample_044,5.49,3.75,1.42,0.31
sample_045,4.88,3.63,1.52,0.25
sample_046,5.03,3.68,1.26,0.43
sample_047,4.69,3.54,1.49,0.14
sample_048,5.43,3.55,1.38,0.2
sample_049,5.02,3.36,1.89,0.39
sample_050,7.22,2.79,5.81,2.06
sample_051,6.55,2.48,5.71,2.08
sample_052,7.39,3.12,4.98,1.88
sample_053,6.22,2.86,5.64,1.76
sample_054,6.64,3.14,5.47,2.23
sample_055,7.59,3.15,6.04,2.65
sample_056,6.49,2.93,4.65,1.47
sample_057,7.3,3.39,4.95,1.4
sample_058,6.27,2.52,5.08,1.66
sample_059,5.94,2.77,5.57,2.08
sample_060,7.2,3.35,6.1,2.5
sample_061,6.46,3.08,5.26,2.37
sample_062,6.19,2.86,5.94,2.43
sample_063,6.13,2.68,5.84,2.16
sample_064,6.26,2.7,5.21,1.93
sample_065,6.84,3.18,5.32,2.3
sample_066,6.91,3.69,5.44,2.33
sample_067,6.03,2.74,5.47,2.2
sample_068,6.39,3.15,5.63,2.31
sample_069,6.72,3.25,5.59,1.87
sample_070,5.65,2.61,5.11,1.87
sample_071,7.73,2.88,6.05,2.51
sample_072,6.77,2.7,5.44,1.56
sample_073,6.71,3.03,5.87,2.1
sample_074,6.47,3.43,5.62,2.29
sample_075,6.72,3.19,6.0,2.5
sample_076,6.92,3.27,5.7,2.05
sample_077,6.63,3.32,5.7,2.01
sample_078,6.27,2.86,5.77,1.95
sample_079,6.8,3.0,5.86,2.19
sample_080,5.88,2.65,5.11,1.91
sample_081,6.13,3.47,5.12,2.0
sample_082,7.26,2.87,6.17,2.33
sample_083,6.71,3.32,5.68,2.42
sample_084,6.23,2.71,5.09,1.78
sample_085,6.61,2.88,5.63,2.11
sample_086,6.5,2.98,5.45,1.75
sample_087,6.22,3.53,5.4,2.32
sample_088,5.94,2.84,5.42,2.2
sample_089,6.49,3.16,5.27,2.29
sample_090,6.2,2.63,5.56,1.44
sample_091,6.19,2.93,5.57,2.02
sample_092,6.11,3.0,5.9,2.1
sample_093,6.4,2.86,5.53,2.33
sample_094,6.61,3.01,5.55,1.84
sample_095,6.43,2.93,5.32,2.0
sample_096,6.43,2.86,5.1,1.98
sample_097,6.86,3.31,5.57,2.41
sample_098,6.38,2.62,5.08,1.58
sample_099,6.5,3.17,5.84,2.08
sample_100,5.71,2.43,3.8,1.04
sample_101,6.32,2.79,4.73,1.33
sample_102,6.55,3.11,4.44,1.4
sample_103,5.71,2.33,4.01,1.3
sample_104,6.4,2.89,4.26,1.27
sample_105,6.61,3.05,4.37,1.1
sample_106,5.67,2.67,4.05,1.03
sample_107,5.63,2.5,4.0,1.19
sample_108,5.83,2.73,4.38,1.18
sample_109,6.03,2.85,4.85,1.45
sample_110,6.33,2.71,4.72,1.43
sample_111,5.76,2.53,4.26,1.32
sample_112,6.02,2.51,4.0,1.22
sample_113,5.64,3.0,4.55,1.43
sample_114,5.6,2.64,4.37,1.44
sample_115,5.78,2.69,4.23,1.32
sample_116,5.62,2.73,3.94,1.18
sample_117,5.91,2.91,4.07,1.46
sample_118,6.18,2.74,4.39,1.18
sample_119,6.03,2.91,4.54,1.51
sample_120,5.76,2.81,4.4,1.31
sample_121,5.88,2.73,4.18,1.23
sample_122,6.17,3.0,4.31,1.32
sample_123,5.69,2.33,3.91,1.02
sample_124,5.73,2.7,4.16,1.18
sample_125,5.67,2.53,4.0,1.04
sample_126,6.17,2.85,4.67,1.47
sample_127,5.58,2.68,4.1,1.14
sample_128,5.77,2.65,4.2,1.3
sample_129,5.32,2.33,3.97,1.4
sample_130,5.63,2.54,4.36,1.3
sample_131,5.72,2.36,4.38,1.26
sample_132,5.73,2.5,4.1,1.28
sample_133,5.75,3.0,4.5,1.58
sample_134,5.8,2.7,4.14,1.38
sample_135,5.69,2.56,4.49,1.57
sample_136,5.51,2.61,4.09,1.18
sample_137,5.57,2.88,4.53,1.29
sample_138,5.85,2.8,4.55,1.48
sample_139,6.03,2.62,4.23,1.33
sample_140,5.89,2.63,4.16,1.32
sample_141,5.77,2.76,4.38,1.35
sample_142,5.3,2.28,4.0,1.33
sample_143,5.49,2.42,4.52,1.44
sample_144,6.2,2.83,4.63,1.47
sample_145,5.76,2.7,4.15,1.25
sample_146,5.76,3.03,4.39,1.42
sample_147,6.3,2.49,4.46,1.48
sample_148,6.11,3.0,4.9,1.46
sample_149,5.45,2.58,4.0,1.22
